Label;SkillsCount;SkillsCombinationRarity;SkillsCombinationRarityPerCrewRarity;MaxRarity;VoyRank;GauntletRank;ScienceSkillCore;ScienceSkillRangeMin;ScienceSkillRangeMax;SecuritySkillCore;SecuritySkillRangeMin;SecuritySkillRangeMax;CommandSkillCore;CommandSkillRangeMin;CommandSkillRangeMax;DiplomacySkillCore;DiplomacySkillRangeMin;DiplomacySkillRangeMax;EngineeringSkillCore;EngineeringSkillRangeMin;EngineeringSkillRangeMax;MedicineSkillCore;MedicineSkillRangeMin;MedicineSkillRangeMax;B_CMD;A_CMD;B_SCI;A_SCI;B_SEC;A_SEC;V_CMD_SCI;G_CMD_SCI;V_CMD_SEC;G_CMD_SEC;V_CMD_ENG;G_CMD_ENG;V_CMD_DIP;G_CMD_DIP;V_CMD_MED;G_CMD_MED;V_SCI_SEC;G_SCI_SEC;V_SCI_ENG;G_SCI_ENG;V_SCI_DIP;G_SCI_DIP;V_SCI_MED;G_SCI_MED;V_SEC_ENG;G_SEC_ENG;V_SEC_DIP;G_SEC_DIP;V_SEC_MED;G_SEC_MED;V_ENG_DIP;V_ENG_MED;V_DIP_MED;EventsCount;IsInPortal;DaysFromDateAdded;InCollectionsCount;IsInSeries_ds9;IsInSeries_dsc;IsInSeries_ent;IsInSeries_original;IsInSeries_pic;IsInSeries_tas;IsInSeries_tng;IsInSeries_tos;IsInSeries_voy;ShipBattleAccuracyMax;ShipBattleEvasionMax;ShipBattleCritChanceMax;ShipBattleCritBonusMax;ActionBonusAmount;ActionCooldown;ActionInitialCooldown;ActionDuration;ActionLimit;ActionBonusType;ActionAbilityCondition;ActionAbilityType;ActionAbilityAmount;ActionPenaltyType;ActionPenaltyAmount;TraitsCount;Traits;TraitsHidden
8;1;0.021582734;0.037037037;1;1021;1014;0;0;0;217;37;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;540;537;1022;0;977;717;1023;0;1023;0;1024;0;975;715;1022;0;1022;0;1023;0;965;623;977;797;956;604;1023;1024;1024;16;True;1943;2;True;False;False;False;False;False;False;False;False;400;265;67;115;1;10;20;14;0;2;0;0;0;0;0;4;Changeling,Cardassian,Investigator,Interrogator;nonhuman,male,organic,ds9,odo,crew_max_rarity_1
4;2;0.035971224;0.1;3;920;934;0;0;0;523;27;85;317;107;225;0;0;0;0;0;0;0;0;0;537;492;0;0;354;431;843;553;627;468;817;499;864;615;787;463;803;824;974;0;985;0;965;0;743;701;847;856;738;678;986;965;977;17;True;1943;1;True;False;False;False;False;False;False;False;False;520;0;75;300;6;16;10;12;0;0;0;0;0;3;800;5;Changeling,Bajoran,Constable,Investigator,Interrogator;nonhuman,male,organic,ds9,odo,crew_max_rarity_3
4;1;0.021582734;0.018181818;2;1015;1018;0;0;0;0;0;0;322;46;132;0;0;0;0;0;0;0;0;0;535;560;0;0;0;0;961;774;954;744;958;710;964;783;942;665;1017;0;1017;0;1019;0;1020;0;1017;0;1019;0;1020;0;1019;1020;1022;4;True;1943;1;False;False;False;False;False;False;True;False;False;130;200;13;210;4;5;3;10;2;0;0;0;0;0;0;3;Starfleet,Bajoran,Resourceful;nonhuman,female,organic,tng,ensign,bridge_crew,ro,crew_max_rarity_2
10;3;0.035971224;0.21443737;5;353;145;0;0;0;938;183;435;819;94;241;546;176;390;0;0;0;0;0;0;221;239;0;0;154;109;359;550;101;133;323;494;181;155;285;459;269;211;625;0;419;302;602;0;237;186;92;44;210;162;367;574;314;5;True;1943;1;False;False;False;False;False;False;True;False;False;1325;1050;365;545;7;14;14;3;0;0;2;1;400;0;0;5;Human,Clone,Reman,Villain,Romulan;male,organic,tng,shinzon,crew_max_rarity_5
10;2;0.035971224;0.1;1;1007;1000;0;0;0;125;22;74;251;42;110;0;0;0;0;0;0;0;0;0;576;576;0;0;554;557;968;804;911;670;965;738;978;809;955;701;995;837;1012;0;1014;0;1015;0;987;717;994;869;982;688;1016;1016;1018;20;True;1943;1;False;False;False;False;False;False;True;False;False;455;340;425;0;1;14;8;10;0;0;0;4;500;0;0;6;Human,Federation,Starfleet,Maverick,Gambler,Romantic;male,organic,nonhuman,tng,commander,bridge_crew,first_officer,riker,crew_max_rarity_1
7;3;0.035971224;0.21443737;2;949;918;0;0;0;124;29;89;279;78;191;290;22;64;0;0;0;0;0;0;558;557;0;0;556;553;890;636;815;525;879;599;796;592;855;553;962;821;987;0;901;833;982;0;951;700;874;803;939;676;891;986;869;20;True;1943;1;False;False;False;False;False;False;True;False;False;645;275;295;50;2;14;8;10;0;0;0;5;10000;0;0;7;Human,Federation,Starfleet,Pilot,Maverick,Gambler,Romantic;male,organic,tng,commander,bridge_crew,first_officer,riker,crew_max_rarity_2
9;2;0.035971224;0.028720627;4;828;350;0;0;0;0;0;0;0;0;0;453;166;339;0;0;0;591;187;590;0;0;0;0;0;0;957;0;951;0;954;0;696;452;494;79;949;0;911;0;683;370;347;90;943;0;720;452;459;89;658;307;254;6;True;1943;1;False;False;False;False;False;False;False;True;False;690;440;52;25;7;8;8;10;0;1;0;0;0;0;0;6;Civilian,Caregiver,Inspiring,CulturalFigure,Romantic,Human;female,organic,tos,keeler,crew_max_rarity_4
8;2;0.035971224;0.037037037;1;1008;971;181;51;197;0;0;0;0;0;0;138;33;74;0;0;0;0;0;0;0;0;415;410;0;0;975;679;1015;0;1015;0;997;844;1017;0;967;661;939;435;899;556;925;395;1013;0;986;861;1017;0;984;1017;975;16;True;1943;2;False;False;False;False;False;False;False;False;True;103;375;135;60;1;10;1;14;0;0;0;0;0;0;0;4;Vulcan,Federation,Starfleet,Telepath;nonhuman,male,organic,voy,ensign,bridge_crew,tuvok,crew_max_rarity_1
5;3;0.021582734;0.055555556;3;896;827;145;45;149;445;85;201;291;53;161;0;0;0;0;0;0;0;0;0;553;565;421;418;410;425;782;462;636;416;827;677;876;746;800;630;694;362;845;486;905;742;835;455;718;534;826;694;706;520;974;945;964;16;True;1943;2;False;False;False;False;False;False;False;False;True;465;300;0;50;4;16;10;12;0;0;0;5;10000;0;0;6;Vulcan,Federation,Starfleet,Telepath,Tactician,Investigator;nonhuman,male,organic,voy,lieutenant_commander,bridge_crew,tuvok,crew_max_rarity_3
7;2;0.035971224;0.1;2;972;956;0;0;0;304;60;176;273;37;126;0;0;0;0;0;0;0;0;0;562;567;0;0;507;511;927;792;774;514;924;725;937;795;910;685;892;673;994;0;998;0;995;0;875;583;910;752;862;567;1000;998;998;20;True;1943;2;True;False;False;False;False;False;False;False;False;295;0;5;150;2;14;0;10;0;0;0;6;250;0;0;3;Bajoran,Veteran,Resourceful;nonhuman,female,organic,ds9,kira,crew_max_rarity_2
